"year","TRTID10","hinc","powner","pwht","pblk","pop"
"1980",36047027000,13354.9998,"28.52","94.23","1.21",1906.999972
"1980",36047027100,12185.31735,"16.87","2.88","93.89",2194.714333
"1980",36047027200,13384.0001,"23.92","92.62","0.16",3077.000023
"1980",36047027300,9325.00006,"22.97","1.19","95.87",2108.000013
"1980",36047027400,17917.00013,"39.29","98.17","0.00",2566.000019
"1980",36047027500,9185.000103,"20.21","0.27","97.30",3662.000041
"1980",36047027600,12188.00009,"21.29","92.78","0.00",2826.000021
"1980",36047027700,8913.00007,"13.73","0.23","98.59",4326.000034
"1980",36047027800,11814.00014,"16.10","91.80","0.82",2684.000032
"1980",36047027900,10193.99985,"23.27","0.24","96.90",2971.999956
"1980",36047028000,14965.99983,"33.45","91.72","1.45",1449.999984
"1980",36047028100,6651.000012,"7.86","1.15","69.33",3984.000007
"1980",36047028200,17230.00003,"28.30","94.57","0.00",2558.000005
"1980",36047028300,5135.000048,"7.06","0.81","63.00",3459.000032
"1980",36047028400,11292.00008,"20.30","90.50","0.06",3357.000025
"1980",36047028501,5521.000041,"9.52","1.08","13.36",277.0000021
"1980",36047028502,7787.999768,"0.73","0.92","71.11",3581.999893
"1980",36047028600,11599.99996,"7.64","84.47","2.23",4295.999984
"1980",36047028700,5871.000011,"12.39","2.11","60.81",2136.000004
"1980",36047028800,16014,"19.97","86.41","0.39",2834
"1980",36047028900,5360.000064,"8.65","0.90","68.82",2781.000033
"1980",36047029000,12962.00024,"12.56","89.61","0.99",3425.000064
"1980",36047029100,6626.000049,"19.85","0.19","98.46",2597.000019
"1980",36047029200,10462.00004,"15.54","91.80","0.41",2171.000008
"1980",36047029300,9198.000137,"16.33","0.19","92.29",3137.000047
"1980",36047029400,12256.27489,"15.08","89.57","0.22",2064.542128
"1980",36047029500,9345.000052,"24.76","0.50","97.33",3818.000021
"1980",36047029600,12174.99995,"14.90","92.77","0.28",4576.999983
"1980",36047029700,12180.99999,"26.20","0.60","96.45",3802.792991
"1980",36047029800,16249.99995,"27.87","95.21","0.13",3108.99999
"1980",36047029900,7258.000088,"22.03","0.46","96.30",807.2857107
"1980",36047030000,15181,"35.08","95.29","0.00",3272
"1980",36047030100,8865,"29.52","0.47","88.90",2325
"1980",36047030200,17167,"37.95","96.28","0.14",3628
"1980",36047030300,6515.999982,"11.15","0.35","96.37",3115.999991
"1980",36047030400,15054.99975,"26.70","93.37","2.50",3586.457845
"1980",36047030500,8872.746738,"7.69","7.30","74.68",4288.999958
"1980",36047030600,13560.00004,"42.30","94.67","0.00",1706.000005
"1980",36047030700,4599.000033,"7.37","1.43","94.81",3563.000026
"1980",36047030800,18570.99949,"30.77","95.46","0.00",1871.999948
"1980",36047030900,9259.99997,"14.55","0.84","87.81",1656.999995
"1980",36047031100,7765.00008,"16.40","0.93","96.55",2378.000024
"1980",36047031300,10145.99995,"11.65","0.99","95.38",4351.99998
"1980",36047031400,17452.03206,"35.47","96.15","0.02",5169.228858
"1980",36047031500,8366.000125,"5.09","0.75","93.87",5039.000075
"1980",36047031701,8575.000128,"11.05","0.65","96.85",3360.00005
"1980",36047031702,10660,"15.35","2.98","84.98",3888
"1980",36047031900,13230.99984,"19.28","4.38","89.74",3263.99996
"1980",36047032100,9860.999927,"5.40","3.39","74.89",5781.999957
"1980",36047032300,10938.00016,"15.02","4.14","81.94",3482.000052
"1980",36047032500,12767.00038,"3.82","1.08","90.66",6774.000202
"1980",36047032600,6044.000086,"1.84","9.53","54.74",6723.000095
"1980",36047032700,11442.9998,"13.69","6.92","80.36",3176.999944
"1980",36047032800,6733.000075,"6.09","9.30","60.57",1925.000022
"1980",36047032900,11444.00013,"8.84","12.09","73.02",5449.000061
"1980",36047033000,8813.000042,"2.93","17.68","62.73",4451.000021
"1980",36047033100,11971.99987,"14.27","41.44","53.36",4154.999954
"1980",36047033300,12499.99965,"25.22","28.48","64.78",3875.999892
"1980",36047033500,15898.00024,"39.12","12.72","79.04",2996.000045
"1980",36047033600,13033.99995,"39.98","89.25","2.18",3998.999985
"1980",36047033700,10638.00008,"21.17","13.96","72.65",4033.00003
"1980",36047033900,11135.00008,"23.72","0.95","93.99",3796.000028
"1980",36047034000,12512.99986,"0.00","32.38","46.80",2386.999973
"1980",36047034100,12337.99963,"7.94","3.79","92.55",3006.99991
"1980",36047034200,6789.000057,"0.44","18.50","58.76",7788.000065
"1980",36047034300,7493.999916,"9.28","0.33","94.97",5821.999935
"1980",36047034500,9774.000067,"25.03","1.23","94.88",2440.000017
"1980",36047034700,8036.99997,"9.76","0.68","93.51",2340.999991
"1980",36047034800,7785.833844,"24.37","70.58","5.04",1501.581456
"1980",36047034900,8019.99997,"8.83","2.44","82.95",4673.999983
"1980",36047035000,13266.06526,"20.73","95.77","1.13",3928.189695
"1980",36047035100,9813,"10.81","6.05","72.08",3965
"1980",36047035200,3528.999995,"0.97","72.03","16.77",1347.999998
"1980",36047035300,9147.999932,"10.81","5.85","81.90",4994.999963
"1980",36047035400,15283.00006,"17.73","97.69","0.65",6576.000028
"1980",36047035500,11504.99992,"4.55","8.29","80.22",4980.999968
"1980",36047035601,13136.00027,"21.83","98.27","0.19",3327.352842
"1980",36047035602,13135.99995,"21.83","98.27","0.19",5940.64746
"1980",36047035700,6630,"6.73","0.98","85.95",1224
"1980",36047035900,7111.999974,"5.52","0.54","92.46",3685.999986
"1980",36047036001,7505.999912,"1.76","94.83","0.71",3077.999964
"1980",36047036002,6672.999975,"4.67","94.31","0.31",3814.999986
"1980",36047036100,6657.999864,"9.29","0.93","87.18",1286.999974
"1980",36047036200,7009.999902,"17.75","64.51","2.80",3600.99995
"1980",36047036300,7730.000088,"7.51","0.31","86.05",3598.000041
"1980",36047036400,10951.99987,"32.46","77.78","1.44",1943.999977
"1980",36047036501,11299.99971,"5.08","1.37","83.42",2472.999936
"1980",36047036502,7544.999916,"16.89","13.41","27.07",834.9999907
"1980",36047036600,12769.99994,"17.41","76.38","3.22",3509.999984
"1980",36047036700,7610.000063,"17.75","5.66","33.74",1378.000011
"1980",36047036900,7924.999957,"13.19","2.53","65.13",5009.999973
"1980",36047037000,19769.99989,"43.79","92.51","0.15",3882.999978
"1980",36047037100,7069,"13.87","1.37","87.44",3129
"1980",36047037300,7895.000088,"15.70","0.59","91.97",3724.000042
"1980",36047037401,15321.99954,"16.27","92.50","1.12",4201.234111
"1980",36047037402,15321.99946,"16.27","92.50","1.12",4625.765873
"1980",36047037500,6515.000011,"13.99","1.00","89.94",2197.000004
"1980",36047037700,8456.000047,"23.29","0.53","96.97",3763.000021
"1980",36047037900,8160.999935,"16.24","1.07","96.47",2438.999981
"1980",36047038100,9070.587028,"13.47","0.46","96.10",5307.207127
"1980",36047038200,7657,"4.74","24.06","43.96",6604
"1980",36047038300,9160.999898,"27.98","0.38","98.34",3926.999956
"1980",36047038500,8412.999875,"21.94","0.71","93.59",2963.999956
"1980",36047038600,16498.00019,"44.26","95.40","0.17",3003.000035
"1980",36047038700,7746.000076,"16.51","0.83","85.64",3244.000032
"1980",36047038800,13559.99972,"29.71","96.36","0.81",3814.999922
"1980",36047038900,6389.000004,"11.51","3.38","3.84",2133.000001
"1980",36047039000,14539.00005,"44.73","96.89","0.00",2186.000008
"1980",36047039100,6106.999981,"11.84","9.90","10.03",1454.999995
