"Address","Type","Neighborhood","Year Built"
"1801 ADAM C POWELL BOULEVARD","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"1809 ADAM C POWELL BOULEVARD","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"1810 BRUCKNER BOULEVARD","Limited-equity, Mitchell Lama",NA,NA
"1813 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"1815 PROSPECT AVENUE","Income-restricted, HDFC","CROTONA PARK",NA
"1828 EASTERN PARKWAY","Income-restricted, HDFC",NA,NA
"183 STANTON STREET","Income-restricted, HDFC",NA,NA
"1834 2 AVENUE","Income-restricted, HDFC","UPPER EAST SIDE (79-96)",NA
"184 CONSELYEA STREET","Income-restricted, HDFC",NA,NA
"184 MONROE STREET","Income-restricted, HDFC","BEDFORD STUYVESANT",1931
"184 VAN BUREN STREET","Income-restricted, HDFC",NA,NA
"1840 ADAM C POWELL BOULEVARD","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"1842 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"185 EAST 163 STREET","Income-restricted, HDFC","MELROSE/CONCOURSE",NA
"185 EAST 2 STREET","Income-restricted, HDFC","ALPHABET CITY",NA
"185 WEST 135 STREET","Income-restricted, HDFC",NA,NA
"185 WEST 170 STREET","Income-restricted, HDFC","HIGHBRIDGE/MORRIS HEIGHTS",NA
"1850 ADAM C POWELL BOULEVARD","Income-restricted, HDFC",NA,NA
"1854 MONROE AVENUE","Income-restricted, HDFC","MOUNT HOPE/MOUNT EDEN",NA
"1855 ADAM C POWELL BOULEVARD","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"186 EAST 111 STREET","Income-restricted, HDFC",NA,NA
"1862 3 AVENUE","Income-restricted, HDFC","HARLEM-EAST",NA
"1864 ADAM C POWELL BOULEVARD","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"1868-69 7 AVENUE","Income-restricted, HDFC",NA,NA
"187 WEST 135 STREET","Income-restricted, HDFC",NA,NA
"187 WEST 80 STREET","Income-restricted, HDFC",NA,NA
"1878 ADAM C POWELL BOULEVARD","Income-restricted, HDFC","HARLEM-CENTRAL",NA
"1879 AMSTERDAM AVENUE","Income-restricted, HDFC",NA,NA
"188 8 AVENUE","Income-restricted, HDFC",NA,NA
"188 EAST 3 STREET","Income-restricted, HDFC",NA,NA
"1883 MADISON AVENUE","Income-restricted, HDFC",NA,NA
"1889 7 AVENUE","Income-restricted, HDFC",NA,NA
"1889 VYSE AVENUE","Income-restricted, HDFC",NA,NA
"1890 PACIFIC STREET","Income-restricted, HDFC",NA,NA
"1898 LONGFELLOW AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"19 BEDFORD STREET","Income-restricted, HDFC",NA,NA
"19 FRONT SCHOLES STREET","Income-restricted, HDFC",NA,NA
"19 KINGSLAND AVENUE","Income-restricted, HDFC",NA,NA
"19 WEST 106 STREET","Income-restricted, HDFC","MANHATTAN VALLEY",NA
"1900 LONGFELLOW AVENUE","Income-restricted, HDFC","EAST TREMONT",NA
"191 ROCHESTER AVENUE","Income-restricted, HDFC",NA,NA
