year,TRTID10,hinc,prent,powner,pwht,pblk,pop,punemp,mrent,pcol,phs,str30old,hh10old,fhh,pov,pfb,pfb10,p18und,p60up
1970,36005011800,7346.752578,0.1965409372827802,0.8034590628089184,0.9915084490009753,0.0049663766393815735,4840.65562098971,0.015216543102746576,112.186497,0.03685139874989244,0.4528985934247811,729.5937471,700.2921684,36.12831014,403.2358294,401.1542599,41,1337.55732393265,725.002313613892
1970,36005011900,4278.553278,0.982479591342281,0.01752040865916452,0.4922359248746404,0.47790054788744635,9540.01003789155,0.0746555399726508,83.2277211,0.003674618551842504,0.4109199590387857,2366.018485,2118.768941,760.7546212,3525.5575,697.3813033,503.0698723,4380.08271312714,452.600902080536
1970,36005012101,4697.530832,0.9693564862104188,0.030643513789581207,0.6434909090909084,0.31563636749457913,6874.99991596269,0.04719454640797063,79.44191254,0.002909090944650499,0.4327272780167617,1893,1618,461,2318,655,435,3058,410
1970,36005012102,4375,0.9846517119244392,0.015348288075560802,0.7387814666180232,0.2411528684100999,2740.9999489449,0.03679369250985545,79.45701251,0.0014593214427237513,0.4410799060632538,746,738,166,977,310,165,1135,166
1970,36005012300,3993.750381,0.9723644311130843,0.027635619526617687,0.5610318977672127,0.40150163508030856,6353.03246292152,0.05545171376001157,76.08959003,0.003792654959757546,0.4240187960193769,1506.410645,1591.224487,510.8110046,2612.846436,718.9906006,553.2179565,2864.71305131912,394.19189453125
1970,36005012500,4326.388644,0.9541381128096995,0.045861887190300474,0.5348802395209575,0.4097305360363714,6680.00004704809,0.052481460353679406,73.56435601,8.982035864882091e-4,0.4214071826607181,1718,1522,442,2516,496,313,3027,406
1970,36005012701,3865.59136,0.9846698113207547,0.015330188679245283,0.789567384724942,0.18622040443118418,5616.99993722513,0.04945407835581246,73.6496351,0.004272743505113212,0.454513090356418,1650,1292,320,2152,266,158,2271,321
1970,36005012901,3917.847037,0.9759036144578314,0.024096385542168676,0.4817083264360207,0.4476080211417491,6040.9998755221,0.09266628766344515,70.44567733,0.002648568172436385,0.4783976261463221,1769,1327,347,2534,531,355,2394,512
1970,36005013000,10000,0.3380281690140845,0.6619718309859155,0.9936305732484074,0,941.999977190048,0.013440860215053764,108.2758586,0.01698513841553099,0.5201698639756366,169,139,9,15,118,0,306,151
1970,36005013100,3867.841303,0.9666430092264017,0.0333569907735983,0.3281551317763017,0.6322048425112492,9334,0.060918060918060915,73.01470723,0.00385686736661667,0.4322905506749518,2459,1657,699,3917,708,382,4145,754
1970,36005013200,11592.81511,0.30000000000000066,0.7000000411019814,0.9943891402714928,0.0021719457630921986,5506.34433075902,0.0296038327276597,124.8726109,0.020633483791657248,0.49990949759957326,470.40625,971.7078247,37.87168884,364.7641602,635.8457642,0,1935.44262695313,590.997680664063
1970,36005013300,5939.21601,0.9029520295202952,0.0970479704797048,0.27362924281984324,0.6858485700367578,9574.99991528457,0.04743499648629656,75.1170566,0.010339425678946098,0.445639690626899,798,2014,406,2506,415,154,4055,838
1970,36005013500,4978.915575,0.953810623556582,0.046189376443418015,0.14354148845166798,0.8458511688159355,5844.99990337645,0.08358032009484291,73.57337224,0.005474764846705084,0.44858854462689784,1114,1020,371,1700,242,59,2488,524
1970,36005013800,10822.48512,0.20322886989553657,0.7967711301044634,0.9943836001123263,0.005335579870539024,3561.00001518308,0.00894187779433681,162.6168224,0.011513619720636841,0.5136197675376776,604,607,30,275,506,76,1268,505
1970,36005014100,4097.297949,0.9568897276422033,0.04311027208987843,0.6097791828843026,0.3712536999939331,5674.38184169121,0.06550675289596088,71.29647819,0.005797923673073522,0.4243606017677367,1670.083237,1371.146881,441.5875168,2396.618118,288.6952267,65,2517.44553375244,420.795594215393
1970,36005014300,4773.584913,0.9465930036231119,0.05340699637688805,0.4153485647334509,0.5635618045842586,1487.61810909491,0.03177965979759544,80.19230449,0.004100761500350085,0.4967779873623807,515.916748,407.8531189,207.4124908,648.381897,79.30477142,0,667.554443359375,73.2044067382813
1970,36005014400,6143.265805,0.8615455480837878,0.13845445159446804,0.6500229075649246,0.3434005920445228,5321.97471919842,0.04626060627800509,82.78905524,0.016138589963639732,0.4461625838684245,189.7002506,903,175,1003.196472,248,0,2164.77329921722,590.335012435913
1970,36005014500,5330.188571,0.9745925215723873,0.025407478427612654,0.298248286367099,0.6498096048168029,6564.99991440214,0.03607996099463676,77.18894491,0.010053313154690342,0.45940594658403133,981,1711,381,1740,445,89,2815,611
1970,36005014701,5702.651376,0.9935650155296111,0.006435006771486224,0.3807395894048311,0.5780066336798542,7988.33233562624,0.06322580547423914,87.11404559,0.0016838287936534026,0.4058027227463703,300.5777588,1879.516357,325.4103394,2074.03833,494.0649719,145.3740997,4008.39306640625,618.227905273438
1970,36005014702,5702.651382,0.9935649696027361,0.006435006493262546,0.38073958940483155,0.5780065965283744,7452.66739833355,0.06322580749923601,87.1140444,0.0016838287997135114,0.40580272570277987,280.4222412,1753.483643,303.5896606,1934.96167,460.9349976,135.6259003,3739.60668945313,576.772094726563
1970,36005014900,4951.922719,0.9597883597883597,0.04021164021164021,0.2111468381564838,0.7459807067007496,6531.00000608247,0.07497820401046207,76.92837824,0.012249272688025444,0.454448016725744,1776,1169,445,2588,675,296,2663,648
1970,36005015100,4569.50697,0.9328636552009946,0.06713634479900539,0.0467289719626168,0.9309947440557386,7811.00005819649,0.08927770300583221,71.20225039,0.0040967865525005,0.4715145272768544,1922,1536,517,2889,592,378,3122,835
1970,36005015200,8699.25447,0.5424098383407016,0.45759016153906307,0.9932663499077858,0.005305385723357928,2829.24325396831,0.0385361269575137,99.83457282,0.022419254378722452,0.6019379558867282,486.7283236,530.4361937,5.112494439,296.0738106,621.6736326,19.15340151,697.626945018768,641.139617443085
1970,36005015300,3905.228912,0.9760956175298805,0.02390438247011952,0.4893415787559125,0.46591488074100773,13744.9999231938,0.07005925409550366,79.36090136,0.005747544593775704,0.3698799584146289,3420,2952,1199,6899,1219,900,6975,659
1970,36005015500,4264.084516,0.989451476793249,0.010548523206751054,0.5501285347043706,0.41273920583466656,7002.00019563362,0.06397103198551599,83.1159465,0.001570979676187312,0.40174234810135534,1595,1653,557,2734,416,165,3355,355
1970,36005015700,3626.11686,0.962632749895411,0.03736724891620735,0.5647409877913174,0.39695839432916785,9711.9677317337,0.06979120636063378,81.40934654,0.003388102417441419,0.38109628277557034,2323.589436,2487.775532,879.1889954,4480.153526,663.0094166,318.7820454,4694.28707838058,430.80811214447
1970,36005015800,11395.83295,0.3242320819112628,0.6757679180887372,0.997959183673469,0,979.999985396862,0.014150943396226415,122.8846114,0.006122449070823437,0.5591836818018739,146,198,5,49,136,38,287,150
1970,36005015900,3193.133503,0.9903163331181407,0.009683666881859263,0.6203660253570495,0.36571249627936847,6393.0000308603,0.06217616580310881,79.96008953,0.004849053629024988,0.3528859673251733,1368,1214,459,3757,158,83,3299,245
1970,36005016000,10741.75808,0.3234750462107209,0.6765249537892791,0.9953979426096382,0.0029778017776438534,3694.00007837446,0.01742627345844504,126.1904799,0.021386030948533127,0.5370871569859459,520,628,22,185,254,41,1197,416
1970,36005016100,4428.571234,0.9967646265839849,0.0032353734160150984,0.4577737719693545,0.5077061691647423,11095.0001046219,0.06451612903225806,79.27500338,0.0059486254508917084,0.4255069811160569,3088,3413,853,3763,947,582,4646,525
1970,36005016200,10012.34607,0.36213235294117646,0.6378676470588235,0.9971925884334616,0,1780.99995355681,0.01991465149359886,110,0.016282987510518744,0.5283548705999358,312,335,4,97,110,0,526,314
1970,36005016400,9396.551495,0.41247002398081534,0.5875299760191847,0.9908466819221945,0,1311.00000976771,0.01026694045174538,101.7142873,0.04500381354722792,0.58047291710916,345,186,4,75,224,0,355,281
1970,36005016500,3355.931802,0.9874147900470212,0.012585212173973346,0.5519362505242554,0.4259751209473114,6442.42379638604,0.09539207196133628,76.70762516,0.002097022215082863,0.3482454729629158,1566.248413,1509.506836,580.0252686,3040.629395,201.7479248,128.7944336,3464.84057617188,282.807373046875
1970,36005016600,12185.3929,0.27531644458035165,0.724683531026532,0.9977011494252905,4.5977010948071965e-4,2152.75676572637,0.02465483269011592,119.1999982,0.019310345317146663,0.5857471169412541,167.2716827,332.5638123,10.88750553,103.9261856,452.326355,14.84659863,641.373046875,303.860382080078
1970,36005016700,3690.841054,0.9847369764127939,0.015263023584508132,0.6201770519197267,0.3604909529438029,6777.55052868913,0.09312969365216484,73.89356509,0.0010330486975143498,0.36107765905115663,1448.146157,1445.126496,472.0463108,3030.266021,216.0063959,148.0023688,3266.25370275974,363.039914954454
1970,36005016900,3473.282462,0.986291516658922,0.013708514237141504,0.510972461273665,0.4462134264691062,4347.5954089657,0.09230769652398212,69.94253065,0.0027969018563511723,0.4033993166390881,1154.245483,998.9741821,365.7293091,2100.838867,50.50992966,18.7073822,2003.560546875,315.219360351563
1970,36005017300,5325.174981,0.9397590361445783,0.060240963855421686,0.5333198298561875,0.44946323971363883,4936.99996781442,0.0512982900569981,82.1607127,0.010937816559052049,0.45736277389517643,1300,1279,350,1536,446,360,1981,479
1970,36005017500,5608.303189,0.9804644423260248,0.019535569590085816,0.4261421607527488,0.5526584402106839,7286.04115253687,0.043682796259876304,85.19454659,0.015871216450614855,0.5047046804998665,2022.018921,1860.125244,427.8618469,1819.651855,845.8118286,569.9318237,2612.60034179688,1022.57330322266
1970,36005017701,5866.922971,0.9178768124224557,0.082123181555911,0.37739010014424973,0.5994407958599806,5557.13173619267,0.04739152275274068,83.98041464,0.013250617848489134,0.4769740536717953,1392.149632,1436.557068,312.8342505,1385.162857,533.1115022,275.8198227,2041.81323242188,511.437576293945
1970,36005017702,5866.923234,0.9178768186925399,0.08212318899308207,0.37739010014425095,0.5994408123248688,5853.68067137718,0.04739152727642688,83.98041351,0.013250617741973874,0.47697407712250905,1466.439735,1513.216915,329.5282631,1459.080269,561.5602832,290.5385883,2150.77195739746,538.729779243469
1970,36005017901,6116.564863,0.9962416008678725,0.0037584566624419137,0.6459767853629739,0.33169388333799965,5953.75346848369,0.057009349381935165,83.16519104,0.01495180029895856,0.5354121447712297,2019.333252,1855.935913,261.7871094,1013.766235,1230.458008,546.4147339,1694.29553222656,891.364624023438
