"","year","TRTID10","hinc","powner","pwht","pblk","pop","punemp","mrent","pcol","phs","str30old","hh10old","fhh","pov","pfb","pfb10","p18und","p60up"
"114",1970,36005019300,6344.91,0.01,0.52,0.46,6595.18,0.06,83.2,0.02,0.48,1332.9,1700.01,332.27,1412.35,972.88,432.16,2424.74,826.67
"115",1970,36005019400,11274.51,0.48,1,0,1659,0.02,93.75,0.01,0.57,321,233,26,92,224,0,456,265
"116",1970,36005019500,6944.83,0.01,0.87,0.11,6224,0.03,94.49,0.06,0.59,1916,1609,175,937,1268,151,1216,1940
"117",1970,36005019700,6619.68,0,0.83,0.13,5191.52,0.03,89.02,0.04,0.59,1910.04,1482.72,128.71,821.81,1478.23,440.16,1030.98,1367.91
"118",1970,36005019900,6315.79,0.02,0.56,0.42,7814,0.05,82.76,0.01,0.5,2727,2290,336,1327,1149,622,2440,975
"119",1970,36005020000,8739.34,0.16,0.99,0,3838.51,0.04,78.65,0.02,0.61,1320.38,833.46,41.22,310.82,561.85,120.76,853.7,852.66
"120",1970,36005020100,6099.56,0.02,0.63,0.36,4494.25,0.03,82.65,0.02,0.47,1058.51,1191.92,249.47,737.05,476.26,214.53,1553.94,501.47
"121",1970,36005020200,9705.88,0.26,0.99,0.01,1766,0.02,84.8,0.03,0.61,503,373,36,145,249,35,409,434
"122",1970,36005020400,8968.75,0.25,0.99,0.01,2676,0.02,84.94,0.01,0.57,779,504,20,165,620,245,727,465
"123",1970,36005020501,7743.89,0.04,0.68,0.3,5470.79,0.03,95.72,0.05,0.48,1105.2,1367.08,191.53,757.54,1068.91,486.81,1568.68,878.6
"124",1970,36005020502,7747.19,0.04,0.68,0.3,3432.13,0.03,95.74,0.05,0.48,693.14,857.55,120.03,475.09,671.14,305.66,983.75,551.5
"125",1970,36005020601,8990.74,0.39,1,0,1894,0.05,94.17,0.01,0.57,565,306,19,247,441,159,515,370
"126",1970,36005020900,6183.02,0.01,0.88,0.09,4128.96,0.05,88.16,0.04,0.6,1508.9,1119.03,94.49,714.4,1193.48,404.9,861.33,1102.63
"127",1970,36005021001,9575.11,0,0.98,0.02,7128,0.03,98.18,0.08,0.63,1154.86,1455.89,42.44,441.46,918.71,34.8,935.75,2724.83
"128",1970,36005021002,9575.11,0,0.98,0.02,8848.58,0.03,98.18,0.08,0.63,1433.63,1807.32,52.69,548.02,1140.47,43.2,1161.63,3382.57
"129",1970,36005021100,5997.35,0.03,0.71,0.28,6766,0.03,84.12,0.02,0.48,2005,1895,379,1525,814,334,2372,814
"130",1970,36005021200,8422.17,0,0.99,0.01,5352.92,0.02,94.37,0.08,0.69,1204.33,1021.77,38.27,393.99,912.2,41.89,447.83,2538.66
"131",1970,36005021301,7070.79,0.03,0.44,0.55,1616.95,0.06,78.66,0.03,0.51,526.31,517.26,70.05,385.16,114.14,0.05,541.32,118.13
"132",1970,36005021302,5969.8,0.03,0.66,0.31,6622.05,0.05,87.47,0.03,0.47,2129.69,1837.74,371.95,1145.83,970.86,368.95,2245.68,884.87
"133",1970,36005021501,5613.4,0.01,0.75,0.23,5168,0.05,85.3,0.02,0.5,1404,1310,260,1006,953,423,1643,844
